Filename,Commercial PLA
Instrument name,DSC2A-02592 (192.168.1.10)
Operator,
rundate,5/23/2023
Sample name,Commercial PLA
proceduresegments,Equilibrate 25.00 °C; Ramp 10.00 °C/min to 175.00 °C; Ramp 5.00 °C/min to 25.00 °C; Ramp 10.00 °C/min to 175.00 °C
[File Parameters]
Run date,5/23/2023
Trios version,5.6.0.87
Original File Name,
Current File Name,C:\ProgramData\TA Instruments\TRIOS\Data\PI\Guironnet\Michael T\Commercial PLA.tri
User at run start,SCS-MICRODSC\DSC
[Procedure]
Procedure Name,Heat Cool Heat
Sample Name,Commercial PLA
Sample Mass,15.368 mg
Pan Mass,0 mg
Pan Number,1
Reference Pan Number,53
Pan Type,Tzero Aluminum Hermetic
Comments,
Project Name,
Operator,
Test,Heat Cool Heat
Unload Max Temperature,40
Unload Min Temperature,40
Load Max Temperature,40
Load Min Temperature,40
Discard pan in waste bin at end of test,No
Stop on Gas Flow Error,Yes
[Signal List]
Signal #1,Time (min)
Signal #2,Temperature (°C)
Signal #3,Heat Flow (mW)
Signal #4,Delta T (µV)
Signal #5,Delta Tzero (µV)
Signal #6,Tzero Temperature (°C)
Signal #7,Cell Purge (mL/min)
Signal #8,Heater Temp (°C)
Signal #9,Power Delivered (W)
Signal #10,Reference Junction Temperature (°C)
Signal #11,Flange Temperature (°C)
Signal #12,Heat Flow Phase (rad)
Signal #13,Total Heat Capacity (J/°C)
[Configuration]
Company Name,University of Illinois
Instrument Name,DSC2A-02592
Instrument Type,DSC250
Serial Number,DSC2A-02592
IP,192.168.1.10
Location of Instrument,UIUC
DisplayType,Unknown
Sample Interval ,0.1 s/pt
Selected Heat Flow,T4
Exotherm Direction,Up
Cell Serial,DRC2-05513
Lid Type,Standard
Cooler,RCS 90
Leave Cooler on at End of Sequence,On
Gas 2,Air
Gas Selected,Channel 1: Nitrogen
Flow Rate,50 mL/min
Secondary Purge,On
Licensed Heat Flow,Heat Flow T4
Modulation Licensed,Yes
[Versions]
Common IDD Version,1
Cortex Version,VER 2.11.0.1
Driver,5.0.0.7
GDM Version,1.0.3.3
TouchscreenVersion,1.0.3.1821
FEP Version,1.2.1.21
FEP Bootloader,2.0.0.5
AutoSampler Version,2.1.2.1
Auto Sampler Bootloader,2.0.0.5
FCM Version,1.1.0.3
FCM Bootloader,2.0.0.5
[Experiment Logs]
Experiment Log Entry # 1,Equilibrate Segment 25 (C) Started
Experiment Log Entry # 3,Air Cool is off.
Experiment Log Entry # 5,Ramp Segment 10 C/min to 175 Started
Experiment Log Entry # 7,Ramp Segment 5 C/min to 25 Started
Experiment Log Entry # 9,Ramp Segment 10 C/min to 175 Started
[Method Log]
Method Log Entry # 1,Equilibrate 25 °C
Method Log Entry # 2,(Ramp 19648) Ramp 10 °C/minute to 175 °C
Method Log Entry # 3,(Ramp 19649) Ramp 5 °C/minute to 25 °C
Method Log Entry # 4,(Ramp 19650) Ramp 10 °C/minute to 175 °C
Cell Serial,DRC2-05513
[T1 Calibration]
Date Applied,11/30/2022 7:02:51 PM
Slope,-0.00132772
Offset,3.605106
Initial Temperature,98.23943
GUID,0e42a854-9448-4705-87a3-78e0318ab48a
[TZero Calibration]
Date Applied,1/20/2023 8:45:11 AM
Description,From -90.050 °C to 395.465 °C at 20.000°C/min
Gas Type,Nitrogen
Pan Type,None
Source Files 1,C:\ProgramData\TA Instruments\TRIOS\TA Service\Tzero(8).tri
Source Files 2,C:\ProgramData\TA Instruments\TRIOS\TA Service\Tzero(9).tri
Delta T Offset,3.697346
Delta T Slope,-0.0007495147
Delta T0 Offset,-3.572356
Delta T0 Slope,0.01431856
[Temperature Calibration]
Date Applied,1/20/2023 9:07:52 AM
Description,From 106.660 °C to 186.660 °C at 10.000°C/min
Gas Type,Nitrogen
Pan Type,None
Source Files 1,C:\ProgramData\TA Instruments\TRIOS\TA Service\CRM1-Indium.tri
Measured 1,157.6682
Known 1,156.66
[Cell Constant Calibration]
Date Applied,1/20/2023 9:07:52 AM
Description,From 106.660 °C to 186.660 °C at 10.000°C/min
Gas Type,Nitrogen
Pan Type,None
Source Files 1,C:\ProgramData\TA Instruments\TRIOS\TA Service\CRM1-Indium.tri
T4 KCell,1.023662
Onset Slope,-70.46729 mW/°C
[Direct Cp Calibration]
(Not Applied),
[Rev Cp Calibration]
(Not Applied),
[step]
Ramp 10.00 °C/min to 175.00 °C
Time,Temperature,Heat Flow (Normalized)
min,°C,W/g
0.00,25.03,0.028
0.00,25.03,0.028
0.00,25.03,0.028
0.01,25.02,0.027
0.01,25.02,0.027
0.01,25.02,0.027
0.01,25.02,0.026
0.01,25.02,0.026
0.01,25.02,0.026
0.01,25.02,0.025
0.02,25.02,0.025
0.02,25.02,0.025
0.02,25.02,0.025
0.02,25.02,0.024
0.02,25.02,0.024
0.03,25.02,0.024
0.03,25.02,0.024
0.03,25.02,0.023
0.03,25.02,0.023
0.03,25.02,0.023
0.03,25.02,0.022
0.03,25.02,0.022
0.04,25.02,0.022
0.04,25.02,0.021
0.04,25.02,0.021
0.04,25.02,0.021
0.04,25.02,0.021
0.05,25.02,0.020
0.05,25.02,0.020
0.05,25.02,0.020
0.05,25.02,0.020
0.05,25.03,0.019
0.05,25.03,0.019
